short_desc,severity
widgets doublebuffered style paint listeners paint wrong,major
indexing help crashes eclipse java,major
backspace doesnot work flash files viewed swt browser eclipse minimised restored,blocker
warning log file deleted still open src view,trivial
crash startup assertion failure,major
update policy automaticupdatepolicyjava sautoamticautomatic,trivial
cheatsheet dead code cheat sheets copy action,trivial
mail randomly lost thunderbird downloads server,critical
implementation abstractinfoview uses deprecated settitle api,trivial
includes path entry filled envvarbuildpath,normal
info written log,trivial
cannot display contents email folder cannot compact reindex folder thunderbird hangs,critical
dynamicui show viewother window empty,critical
missing icon resource working set,major
npe closing project containing file whose history shown,trivial
errors trying use eclipse linux environment,major
actions injection mechanism menus created plugins,normal
ast overlapping source ranges recovered ast,normal
cdt release shows version number,critical
package explorer visual rendering intermediate linked packages,normal
crash reply sender attachment email,critical
comparison method violates general contract,minor
dcr search would like specify java element search scope gxzpo,minor
preferences java editor preference page cut high contrast,minor
move member type bad results move inner class separate file refactoring,normal
clean convert loop enhanced applied iterator produces broken code,minor
jface misspelling applydialogfont,trivial
mail window imap subject address doesnt show,major
double separator menu bug,trivial
hyperlink wrapped line draws line badly,trivial
resource copy buil settable user,major
istackframegetvariable requests variables view visible,blocker
eclipse compiler generates wrong bytecode nested trywithresources statements,major
debug perspective missing view shortcuts,normal
preferences pref page generaleditorstext editorsaccessibility double mnemonic,trivial
typing switch indentation conform java coding conventions,minor
cannot start eclipse getting jvm error,blocker
styledtext able display dbcs characters bidi mode,major
incorrect left alignment keywords,normal
popup shells quickly show title bar,minor
formatter comments get deleted without unnecessary bracketsstyle,minor
gtk tabfolder cannot traversed tab key tabfoldergetchildren empty,major
privacy security address bar first option browsing history,minor
ref images need updating,normal
quick fix misleading multiquickfix affordance enumabstractmethodmustbeimplemented,normal
organize imports adding unnecessary static import,minor
wizard filter ignores items subcategories,major
real unlikely argument type problem search,minor
home end dont work anymore text editors,critical
thunderbird hangs trying attach files,critical
thunderbird crashes startup,critical
race condition orgeclipsejdtinternalcoreopenable,minor
serial wrongly flagged unresolved symbol,minor
crash doubleclicking js file,normal
jdt tips tricks document refers wrong section find problems null,minor
varargsgenerics compilation error,major
forms adding flat table form editor,major
crash oom large nsabortoom appendutftoutf nsaddrdatabasegetrowfromattribute,critical
session restored exiting pb mode using x,critical
runtimeexception nestedprojectslabelprovider,normal
performance possible performance regression shown javaformattertesttest,normal
win white flash dark theme doublebuffered controls,normal
implementation class orgeclipseuieditorstextfiledocumentprovider detect content changes,major
task tags nonalpha characters highlighted,minor
clarify javadoc dnddropmove,trivial
wizards import team project set page missing mnemonics radio buttons fileurl,trivial
hidden files shown linked folders,major
tvt description text translated code generation option,normal
compiler code method x exceeding bytes limit,minor
program external programs dialog show lots bogus items,major
contributions using go context menu causes view chrome disappear,trivial
unresolved breakpoint freezes application,critical
use varargs jfaceresourcesformat,normal
closed projects allowed destination move copy,major
opening text file attachment crashes thunderbird,critical
one day use im unable connect outgoing smtp server appears outgoing account data corrupting,critical
cursor console,minor
dropindicatorrectangle docked items incorrect,minor
patch refactor main add new gccmain driver,normal
file modified state changes c development editor,critical
crashes trying rename mail folder,critical
launch launch config disappears rundebug settings property page,normal
full indexer chews thru memory,critical
new class wizard error class exends name class,minor
handles followed unhandled loop exception,minor
commands handlers inspect doesnt work,major
graphics new project icon seems glitch bottom window,trivial
moving open mail another folder causes crash nsxpcwrappedjsvftable da,critical
eclipse crashes mac textsettextlimit set,critical
preferences pref page search colors give result color,trivial
thunderbird reports problem says close warning,critical
illegalargumentexception threadvmnode,minor
unable select element dropdown ui mozilla firefox,blocker
call hierarchy improve remove view actions ui,trivial
java logical structure dialog problems,trivial
filesystemresourcemanagerallpathsforlocationuri inputlocation fails symlinked files,major
hidemacrodirectivedescription displayed filter description,trivial
everything disapears config mails,critical
several mails different accounts mixed together,critical
hovering tag hovers incorrectly,minor
print item disabled file menu linux,major
disabling tables resizable columns effect,normal
internalteamhook class misses noextend tag,trivial
compiler compiling require compiler run,major
sending mail,major
codan test cases syntax errors,minor
embedded enable filemanager use reliable files,normal
start second instance destroy open projects,major
npe full build,major
changes shown nested partitioned variables,normal
workbenchparts recursion warning page selection service,minor
controlw cannot mapped format action,normal
sigsev eclipse launch,critical
build order preference page list empty geyf,normal
wrong never used warning annotation classes,minor
swt browser crashes jvm,critical
variables window blank,major
typing smart paste javadoc comments,minor
win refresh daemon job wakes nothing,minor
pathutilequal static,minor
thunderbird closes messages,critical
new class wizard initialize selected cu,minor
deleting project explorer recreate project file,normal
tracking protections doesnt pressing effect,normal
help remove references loadbookatoncelimit documentation,minor
breakpoint attribute problem installation failed,normal
blue screen death minimizing thunderbird,critical
illegalstateexception trying delete jar file,normal
content assist option enforce use variable prefixsuffix ie dont propose unprefixed names,minor
breakpoints breakpoints sometimes cannot set,normal
detachedviews floating undocked views miss keyboard events,normal
preferences defaultscopeinstance javadoc says exists since,trivial
key binding example sequence comply modifier description,trivial
java debugging complain source found logs show npe,normal
dom ast imethodbindinggetjavaelement return imethod lambda,minor
nested astmodifications handled properly change genarator,normal
unmarshalling error indexing,major
compilercalling deprecated method separate class within lambda causes classcastexception terminates ast generation,critical
attachments dialog correctly recognize canceling connect network file share dialog boxes hangs long time situations,major
tps failure testhistorycollisionjs error assertion failed uri visits found history database,normal
filtermatchers extension point make description required supply default,minor
cannot suspend anymore,major
npe new class wizard trying add base class,normal
viewmgmt setcontentdescription doesnt work,critical
keybindings modify short cut keys,normal
jres adding duplicate jar installed jre,minor
wizards error error file dialog,minor
typing enter multiline comment might copy much previous line,minor
small error itypecodecomplete javadoc example,trivial
formatter formatter format java code correctly especially max line width set,major
preview browser working,normal
actionsets launch shortcuts display files newly opened workspace,major
mozilla swt browser crashes eclipse closing popup window,major
import user library invalid path hoses user library dialog fix,major
css package explorer files opened editor shown bold viewer,minor
remove hardcode path import url css files,normal
problems running nodefault,normal
anonymousclassdeclaration wrong range,major
internal error disposing shell,normal
view mgmt npe perspectiveremovefastview,critical
dont use blue dot indicating granted permissions identity block,normal
label containing text caret followed number displays neither,minor
use emodelservice modeledpagelayout instead emf factory,normal
eventtablesendevent probably use tryfinally,normal
hangs doubles windows try attach file new message v,critical
cc search alters search string taking selection,minor
refactorscript extract superclass pull methods,normal
improve javadoc searchpatterncreatepatternstring int int int,trivial
parseriproblem first syntax error warning marker,normal
workbenchlauncher switch workspace fails eclipsevm property set,normal
eclipse startup problem,blocker
cannot connect vm eclipse launched path contains,critical
ui redundant space toolbars editors,minor
focus thread hit breakpoint debug view,normal
compiler inner class token incorrectly picks outer type arguments,normal
surround trycatch doesnt include inline comments,normal
dialogs resourcelistselectiondialog folder list updating,normal
uninstall thunderbird,critical
global compiler settings ignored restarting defaults even though displayed,major
project info property page include derived property,minor
severe problems removing internal jar gdat,critical
core tools update site old,normal
coolbar context menu working eclipse ide,minor
weird line duplication text editor,critical
bidi ide bidihcgproject name bidi name hebrewarabic appear location label properties tab,major
badlocationexception console gldxsx,critical
prompted twice save launch configuration,minor
search scope tooltip string shared causing problems translation,minor
rename inner source folders fails,critical
cant drag drop files windows explorer projects cc projects view,minor
editing text horizontal scrollbar,normal
pressing esc template editor,trivial
dnd inconcistency copypaste dnd,major
awkward change default output folder,minor
test failure n yieldtesttestnestedacquirejobisnotrescheduled,normal
javadoc filter filters non javadoc matches search,major
unchangeable uchg flag set files checked updated cvs repositories,critical
improve description access rule page,normal
dbcs cannot input dbcs kanji characters using candidate window,critical
compiler error messages semantics differences jdtcore javac qualified access inner type within generic type,minor
seems bug back,minor
user operation waitng building workspace complete,major
help browser doesnt launch amd,normal
cant set many nonwestern fonts need port xpfe,major
documentation fix runtimeclasspathentrygetclasspathproperty,trivial
browser preferences help open help contents label controls mac wo orgeclipseuibrowse,trivial
gtkwebkit wtfcrash,major
jface strange labelid resolution messagedialogwithtoggle,minor
accessibility table tooltips read jaws,minor
projection illegalstateexception projectiontextstoreget,major
composition window crash right opening trying reply messages text mode,critical
cvs status bars useless,minor
quick fix linked mode proposals visibility,minor
javadoc api bad image,minor
jobs deadlock ilocks possible due improper cleanup ilocks released job ends,major
dialog windows resizablebad size notresizableno content,major
certain cases generics seens applied autoboxing,normal
mail filters invisible,major
build action enabled celementgrouping eg includes selected rightclicking project,minor
call hierarchy call hierarchy show callers interface implemented methods,normal
rename renaming parameter avoidsolve name conflicts,normal
ccombo freezes popped,major
sync view redundant change summary dialogs,normal
escape sequence b work console,minor
deprecate stytedtextsetdoubleclickenablefalse,trivial
severity display updated right away,minor
missing screenshots topsitelink components nightly,normal
variables logical variables show value changed red,normal
filters apply tags new mail allow antivirus clients quarantine individual messages enabled,major
add search engines discovery location bar,normal
getdefaultoptions misses option,minor
replace node duplicates comment,minor
extenstion id picked pluginproperties,normal
problem syntax highlighting preprocessor directives,minor
npe parallelizationnumber missing,major
platform wrong licence header,trivial
create field suggestion causes duplicate code entries,major
enclosing project search broken uses editor input,critical
cleanup regex change character regexps actually regexps,normal
add catch surrounding try gone,minor
npe opening java source file open recent,normal
error log view missing,normal
gtk eclipse frozen error message log file memory,blocker
contributions control element visiblewhen option orgeclipseuimenus extension point,normal
editor gives errors referencing nonpublic class different file,major
clean make field final replaces volatile final,minor
navigation problems using symbolic links,normal
console terminate button doesnt work higher priority threads,minor
viewers javadoc errors griddatafactorygridlayoutfactory,trivial
help warnings generics showing orgeclipsehelpbase switch jse,trivial
changing generics field doesnt change generics constructor call,minor
hang gtkclipboardwaitforcontents,critical
java source reference wont compile,normal
aioobe styledtextsetselection via structuredtextviewerhandledispose,major
presentations workbenchpresentationfactorycreateeditorpresentation called twice,trivial
dialogs elementtreeselectiondialog accept itreepathcontentprovider,minor
progress window cancel option cancelling process disables,blocker
tvttct migrate button truncated launchconfig preference panel,major
compiler incorrectly creates object generic varargs,major
move delete resource cfgs context menu item bottom,trivial
navigation frames margins mozilla,minor
navigate go enablement broken,normal
eclipse rtl mode auto complete content aligned right java context,minor
scrollbargetselection behavior differs greatly linux gtk,major
regression screen cheese starting fast view,major
high contrast display bug mozilla,minor
widget disposed exception property page,normal
editormgmt wildcard end file association string invalid,normal
method potentially static warning junit test methods annotated orgjunittest,minor
tb x forward images forwarding email inline images,major
launching new fields launch delegates,trivial
unable copy path variables one project another,major
workbench problem deleting perspective descriptor created restore state,critical
extract method preview shows useless scrollbar,trivial
autocomplete javafx concrete tablecell declaration,major
right click entry error log view produces nosuchmethoderror,minor
thunderbird crashes opening,critical
mail crashes changing directory attachment,critical
syntax highlighting syntax colorisation,trivial
directwritehardware acceleration disabled default directd,major
editor mgmt npe switch vieweditorperspective gtk,critical
replace replaces wrong text,critical
gcc build output parser heavily consuming cpu build project files outside workspace,normal
hashcodeequals equal hashcode use acessors instead fields directly,trivial
making reference uiinternalworkbenchplugin,critical
tracker gives gdkwarning,normal
styledtext able display dbcs characters bidi mode,major
eclipse cant index android project,blocker
printing freezes thunderbird shuts thunderbird,critical
intro keyboard shortcut ctrln working properly,major
api markertype markerannotationspecification extension point,trivial
terminal scroll lock fails terminal buffer runs,minor
new text search remove unapplicable context menu options filter,trivial
bad line number information returned compilationunit trailing newline,normal
email threads duplicate entries delete one others email drop subject reflect year old date,critical
boot problems moving motif gtk version,critical
x error causes vm crash changing desktop popup visible,normal
annotation based null analysis annotations cannot resolved,minor
countermeasures javapluginextension vulnerabilities disable warn offer updates,critical
inline rename modify another files name click another file,normal
tips tricks wrong location type filters,trivial
arraystoreexception attempting rename field refactoring,critical
dom astexception compilation unit conversion trying autocomplete method override,minor
ui freeze minutes everytime starting eclipse ide,critical
dialogs preferences screen comes blank,major
pasting base msg contents new compose window results hang,critical
allowlabelupdate work navigate open declaration missing,major
imap fetch many folders overloads imap server,major
classcastexception command update,normal
memory optimization javamodelcache,minor
file search dialog tab wrong background running xp themes search,minor
keys preference page table column sized correctly,major
new bookmark confirmation steals focus website page content,major
run mode perspective applicable debugonly config type,normal
webkit crash luna kepler sr kubuntu,critical
eclipse sdk macos x crashed started,critical
ctrlshiftenter causes sites open org,major
crash nseventlistenermanagerremoveeventlistener,critical
debug viewrun control step buttons still available stepping sleep call,minor
logical structure vector failing,major
crash scriptstringout,normal
refactoring save file extract method gewru refactoring general issue,major
password prompt changing password,major
build path context help set filter wizard page,normal
workbench need kind indicator plugins loaded,major
assist missing import quickfix,normal
template main puts variable name,normal
crash ccgraphbuildernoteweakmapping,critical
nsdictionarym utfstring unrecognized selector crash changing folder mac sierra,critical
progress bars useless,minor
thunderbird custom new mail sound locks ui playing isnt asynchronous,major
create test experiment data unblock aboutwelcome platform,normal
eclipse set launch configurations test code correctly,minor
synthetic constructors exceed parameters classformaterror,trivial
typo invert instanceof quick fix,trivial
javalangnoclassdeffounderror orgeclipseupdateuiupdatemanagerui,major
nls tooling assertion failure trying externalize strings,normal
workbench bogus javadoc imementotagid,trivial
tips typo tip day ui feature details,trivial
eclipse crashes managed c make project corrupts,critical
data loss downloading mail thunderbird places junk deleted server cannot downloaded mail lost,critical
syntax highlighting xhtml tags javadoc doesnt work well,minor
treeviewer bug preserving expansion state,major
address book broken,major
viewers treeviewer swtvirtual refresh doesnt work,major
website needs updated,normal
drag drop cursor indicator state setreset properly,normal
theme background color problem package explorer classic theme,minor
allow inherit project settings project,minor
javalangmodulefindexception module jdkcryptoec found required jdkcryptocryptoki,normal
unused import warning marker showing class exists within javadoc comment,normal
parser error handling bad using declaration extreme,major
intro icons line mac circles theme,minor
thunderbirdexe entry point found procedure entry point jsflagsystemobject could located dynamic link library jsdll,major
jaws reads project explorer entry reading dialog contents,major
error pressing update classpath button manifest editor,normal
sourceattachment automatic computation package root work gcmtlp,normal
sourceimplementoverride doesnt recognize generic interface code manipulation,minor
progress stack overflow clicking links progress view,normal
classpath problems,major
extract class generates incorrect parameter,normal
delete removes subject line doesnt delete message,major
expressions changing expression name view accept empty expression,minor
switching view fast view leaves zumbi view around,critical
contributions popupmenu enablement problem unknown expression element objectclass enablement objectcontribution orgeclipseuipopupmenus,normal
enabling advanced graphics cause alpha gradient applied,normal
shift right left add tabs instead spaces,normal
launching update manager crashes eclipse osx jaguar,major
gtkbidi rtl support label,normal
firefox x winxp crash rtlpwaitforcriticalsection rtlpwaitforcriticalsection rtlentercriticalsection,critical
dark theme selectable form editor title dark eclipse dark theme,normal
refactoring script feature broken soon enter nonutf char,major
scrollbar intersection square mac os x looks wonky,trivial
upgrade dependency redux reactredux newtab welcome spotlight etc,normal
syntax highlighting fails functions trailing returntype syntax override specifier,normal
gtkdnd dragging parts show rectangle,major
letter twice underlined pupupmenu source code,minor
eclipse exits opening help contents,critical
tagging place uri lead circular menus,critical
strange behaviour activatingdeactivating project specific settings workspace locked,normal
copyright statement cdt properties installing,trivial
use icontenttypeiskindof propertiesfiledocumentprovider,trivial
progress view wrong tooltip,trivial
history view provide smooth update old cvs history view,normal
nullpointerexception labelcomputesize macos,normal
crash jsfinalizeobject thunderbirds gloda indexing,critical
expressions readme improve error message thread must suspended step breakpoint perform method invocation,normal
using enums breaks debbuggers step selection feature,normal
null clean handling null type annotations wrt type variables,normal
missing description preference pages,trivial
edit menu loosing separator,normal
undesired warnings concerning localfiledll,normal
bump dependency jdtcore,trivial
browser linuxsled eclipse crash xpcom error mozilla onstatechange callback,critical
webapp page url browser always reflect current help page,normal
doc updated orgeclipsejdtuisharedastprovidergetastityperoot waitflag iprogressmonitor,trivial
constructor call argument list found,normal
wizards bad example javadoc basicnewfolderresource,trivial
enable whats new toolbar badge,normal
regression save launch doesnt save,major
breakpoint method name updated refactoring,normal
npe cvs preference page,major
promote temp field doesnt preserve formatting,minor
retrieved yahoo mail unread deleted account settings changed leave mail server,critical
exportimport project sets wizards dont wizard description,trivial
moving caret left right really slow,major
extract interface use method code templates,minor
ide crashes infinite loop conditions,major
javadoc keysequence specifies deprecation message,trivial
npe eclipse triggered frequently,normal
deal ramifications gtkos deprecation issues tb,major
crash attempting compose mail,critical
generic method override compatibility,critical
instantly pressing cancel prompted master password startup finally cause disregard,major
styledtext show sometimes error open editor based styledtext,major
package structure bug,normal
remembered tags list redundant duplicates,minor
view toolbar repainted console displaying something,major
clean simplify wizard messages,trivial
read nodes,major
binary found every launch via run,minor
arrow key cause error win use top topic,minor
error cdt core ast creation,normal
improve javadoc searchpatterncreatepatternstring int int int,trivial
quick fix icon enabled access restriction error,trivial
rename parameters table clipped gfocv,major
tabletree column header events incorrect coordinates os x el capitan,major
ui blocks minutes adding new bundle workspace already bundles,blocker
template text misleading,normal
editormgmt list ctrlf editors longer recently used order,major
viewers needless api function viewerlabelprovider,normal
update policymenu update modes menu enabled dsf debug session active,minor
plugin classloader fails directories ibm jdks,critical
tests transient npe testlibraryresolver,normal
hovering tooltip appearance distinct,minor
workbenchparts iworkbenchsitegetshell returns null every textbased editor leaked,critical
new look single editor tab sufficient,critical
mpe npe multipageeditorpartpagechangeint,major
api deprecate scope methods add context methods,normal
checkbox tree truncates checkboxes,trivial
implementation npe sourceviewer,major
accessibility duplicate mnemonics cc preferences,minor
error involving variadic templates function objects,normal
editor deadly slow reflect typing,blocker
reverting file inside text editor current line stay highlighted,minor
regression parthidden fired perspective close reset npe javadocview resetting perspective,critical
cannot pull static method,trivial
hovering mouse wheel dismiss hover,minor
dwarfreaderinit duplicates dwarf code,minor
could open editor editor descriptor id orgeclipsephpeditor,major
preferencesthemes buttons colour font preference page expand contain text differnt dialog fonts,minor
refactorrename java package fails call validateedit previous eclipse version eg x x clearcase scm adapter,major
hot key f became hot stepbystep debug,major
typos modelprovidersexsd,trivial
crash incl safe mode starting tb profile migration linux macosx nativemenuitemtarget menuitemhit,critical
commands way toggle command group visibility workbench,normal
inference compiler regression mars,normal
swt build input failure library count error,blocker
text encoding pref must encodings editor,critical
command h mapped properly key bindings,normal
doc help page synchronizing repository accurate,normal
run management dialog expands indefinitely,trivial
open workspace dialog opens behind splash screen,major
override renamed implement interfaces gcnph,major
editing readonly files allowed occasionally,major
junit preference page stack filter stack trace filter,trivial
use drag drop move packages another examples project ggpfv,critical
eclipse seem ignore file added remote cvsignore,trivial
confusion external tool config dialog,critical
shortcut switch perspectives working invoked,normal
thunderbird starting nfs mounted home libnssldap user authentication,critical
javadoc mouseeventstatemask mention mouse masks,trivial
content assist slowness bug reproduced helios fix complete,critical
regression cvs dialog download enough place displaying current size state,minor
dragging files existing project causes eclipse fall infinit loop thus pratically freezes maybe samba related,normal
make target view addmodify dialog resizable horizontally,minor
mnuemonic problems gh,normal
commonnavigator contentservicelabelprovider doesnt properly implement overrides,major
cvs ssh info written log,trivial
preferences bucket missing preference keywords incl platform text,trivial
test new warnings orgeclipseuatests,trivial
rename afe ripplemethodfinder renaming method interface,normal
star subject line folder new mails nodv,major
need way turn onoff focus ring,major
eclipse x cannot start due read file failure,normal
errorhandling status handlingshtb explanation action fields adjust size size view,trivial
work items left typo,trivial
rename rename package update qualified names broken,normal
thunderbird hangs send upgrade os x,critical
gtk styledtext widget slow,normal
navigation various open commands navigate menu work java files classpath,minor
text editor settings preference page doesnt draw text borders,trivial
editormgmt ctrle switch editor menus open editor drop keys preference page,trivial
pdfs longer render correctly error resources null,major
reproduction creasey family disturbingly small odd numbered generally sore pregnancy,major
sent mail recipient working,major
details pane expressions view displays wrong data big arrays,major
compiler error importing package inside static import,normal
option use specified colors numbers,minor
memory corruption probably caused chrome alert,critical
dbcs embedding object error windows,normal
javauisetgetxxjavadoclocations throw exceptions api,normal
crash sending mail jess code attatchment,critical
creating new project notdefault folder work,major
link widget disables link text,trivial
smart rename button enabled smartness available geuvhn,minor
extension point schema cleanups,minor
help linux tray dialog show dialog short,minor
progress bar foreground colour white selected progressview,trivial
preferences javadoc url persist eclipse shutdown javadoc,normal
null pointer access analysis understand assert statements,trivial
eclipse crashes starting upgrading,critical
ia native libraries,normal
extract function incorrectly extracts expression containing enum,minor
jdt oomph working,normal
java editor inactive refactor extract method,major
moving class corrupts launch configuration,minor
common navigator tabbed properties view integrated common navigator,critical
visualizer visualizerexamples warning resources referenced buildproperties src list,trivial
run clean part projects cleans parallel projects,normal
accessibility inspect cannot read clabel name control,critical
api breaking change replace displaygetcursorsize displaygetcursorsizes,normal
undo typing work java files,major
annonations rendered wavily,major
font encodings unaccessible change reopening preferences window,major
compound literal c example c iastproblemstatements,normal
wrong outline static member contains struct,minor
bookmarks add bookmark dialog missing colon,trivial
hard see part active inactive stack,major
gnumakefilegenerator secondary prerequisites,normal
eclipse cdt unusable dark theme,critical
cheatsheets n cannot launch cheatsheet launching nonexistent file,major
progress calls multiple threads iprogressservicerun causes empty progressmonitor windows,normal
viewers rows disappear lazy virtual table using checkboxtableviewer,major
startup crash nsappshellprocessnextnativeevent,critical
compilerinference incorrectly inferred method type arguments varargs call arguments inferred,major
indirectly referenced required class files,major
cvs repo view overwrite resource cvs checkout java project,minor
sponsored cards dismissed card savedarchiveddeleted tofrom pocket bookmarked unbookmarked dismissed,blocker
quick assist join variable declaration push variable declaration initialization line,normal
workbench orgeclipseuistartup mark class attribute mandatory,major
usage internal interface inameenvironment,minor
possible configure container exist local system,normal
local change service cannot process mwindows include main menu,normal
sync view override unmergable resources,normal
workbench backwardforward buttons still operational close,normal
ctabfolder extra pixel drawn right ctabfolder,trivial
launch error message spelling,trivial
debug mode stops classnotfound exception every constructor even basic ones like string,major
refactoring extract method dialog conflicting c keyboard shortcut,trivial
compiler nonnullbydefault doesnt work varargs parameter generic interface,critical
address books get added name created via altering default preferences eg extensionmcd,major
editor mgmt r workspace default perspective preference lost,major
swt add see swttool shell constructor javadocs,trivial
tests add tests perspectiveswitcher,normal
help f help mouse cursor,major
last launch updated upon deletion gleanh,critical
add compiler sourcetargetcompliance options jdk,normal
blockselection setblockselectionrectangle clamp selection width renderer width client area allows larger selection,normal
saveall doesnt work properly rsmom,major
gp treedestroyitem exception vioaltion setting working set,major
empty package invention backed jls,minor
compiler false compiler error ternary operator boxing,minor
code formatter deletes space link javadoc comment,minor
console ioconsole updater error long output lines,normal
missing translation string,trivial
quick assist extract constant offered constant,minor
wrong javamodel refresh drag drop outside folder dot name,normal
code mining dont draw minings cancelled,major
type wizards new class wizard allows set final class superclass,minor
risk deleting launch configuration multiple times,trivial
styletext displays styleranges incorrect depending order stylerange array,minor
search limit group match locations dialog use dialog font,trivial
pde junit run tests refenced plugins,minor
create class package superclass,minor
html validator extension called dom wrong thread jsrestoreframechain xpcjscontextstackpop crash,critical
xl c parser using wrong scanner config,minor
always show send tabpagelink device context menu,normal
standalone indexer needs scanner info provider,normal
pull preview fails show add member declaration,major
workbench rendering problems,major
cant uninstall,major
sh get method arg names tooltips gbeosl,critical
junit junit views icon update consistent,minor
command keys copypasteselect work edit menu used,major
cdt working,normal
propertiesview displaying properties complex object properties view,trivial
enough resolution update icon,trivial
launching visual clue configurations filtered dialog,normal
internal compiler error jdk project,critical
npe elementimplhashcode,normal
null annotation interference causes contradicting null annotations,normal
presentations tabfolder presentation maximises double right click,trivial
version increment required orgeclipsetips,normal
rebuild doesnt follow project dependencies,normal
problem swtawt joptionpane,blocker
quick fix generate throws clause erases previous throws clause,normal
unable access internet account,critical
missing hoverwarning nls link broken due empty messages file,minor
use default weight consistently sashrenderer,normal
account settings xul broken one account others,major
ecliopse hangs deadlock startup,critical
editormgmt list ctrlf editors longer recently used order,major
icon corruption linux amd catalyst drivers,normal
dialogs findreplace dialog doesnt always grab focus,normal
pinned tabs px wide,normal
step keybindings working ant debugger,major
swt textsettext change font inappropriately mac osx,critical
parameter hintcode assist consistently consume escape key,minor
gcdrawimage doesnt work negative widthheight,trivial
tvt garbled characters jre tab launch configuration window,normal
project properties dialog directory specifiers invisible,minor
click address book hangs thunderbird high cpu,critical
painting yellow text hilighting code completion,normal
preferences missing node ids new preference pages,trivial
issues resolve modules workspace,normal
defines header,blocker
api know perspective reset finishes,normal
remotetreeviewerstaterestorationjob pushed stack,normal
breakpoint goto marker broken,major
aviary starting blank window packaging thunderbird,blocker
tasks tasks filter support resource project,major
binary bundles missing options file,trivial
missing addressbooks composition window due jsrdf ab implementation,major
extract method npe extract method refactoring,normal
add porting topics,normal
risk deleting launch configuration multiple times,trivial
icloud installationconfiguration thunderbird stops autocompleting email addresses,major
ctabfolder code causes widget disposed exception,critical
replace usage abstractuiplugingetworkbench,trivial
detachedviews npe workbenchpagedetachviewiviewreference ref,normal
exception starting gtk version eclipse using integration build,critical
formatter commandline execution doesnt honor never indent comments options,minor
update linecolumn java editor auto repeat mode,minor
call hierarchy selecting element callee hierarchy reveals wrong editor location,minor
search reference search unusable situations,major
error parser false compile error recognition libtools versioninfo string,normal
using spell check crashes click change,critical
include file completion ignores files without file extension,normal
editormgmt open external file work txt html files least,major
perspectiveswitchercsshandlerjava refers package imported bundle,normal
unused imports found reference javadoc,normal
illegalstateexception javamodelexception thrown decoration deleted project,normal
error opening editor class file hosted java project,trivial
update pocket code latest version may th code drop,normal
window preferences menu item end ellipsis,trivial
retention policy trash junk folders delete recent messages even set delete files days old,major
template engine add file failure,trivial
implementation extract method paste text editors messes,normal
thread view presents individual news messages multiple times omits others,major
crash drag drop mail current messages list imap folders nsmsgdatabasegettablecreateifmissing,critical
javadoc many references java java source files meant,minor
hoverhelp example lists wrong hotkey gtk,trivial
javadoc add since abstractlinetracker,trivial
refactor rename project doesnt update workingset refactoring,minor
address book import outlook express omitted main id contact list,major
extra parantheses javac javadoc accept,minor
help help contents font small,major
error msgconnection server incomingverizonnet timed,critical
commonnav navigator fills log missing nls messages,trivial
documentation abstractsynchronizeparticipantdoessupportsynchronize,trivial
disassembly disassembly view empty subsequent debug sessions,major
tvt hardcoded string export error message,normal
login imapgmailcom falied master password prompt,major
domast key variable binding include type,normal
replace latest local history omits imports local histroy,minor
clean use modifier final possible removes annotations,critical
missing usable source folder configuration tool,major
weird unrecoverable ftp synchronize error,major
multiple clicks revision history opens multiple editors,normal
filedialog crashes vm invalid drive,critical
localegetavailablelocales return locales en en,critical
ole cant save bmp file unless dirty gfk,minor
thunderbird trunk builds broken mailpanewindowcommandsjs error redeclaration let folder,blocker
password extension work es,normal
bookmarkshtml missing bookmarkbak copied bookmarkshtml,critical
formatter content pre endlessly indented,minor
cc gcc cross compiler support static libraries broken,major
packages comsunjdi exported orgeclipsejdtdebug anymore,trivial
doc contributions problems orgeclipseuiviewactions extension point,trivial
keybindings keybinding service must bind del key actionfactorydelete,major
combobox getting cut linux size issue,critical
extract local variable incorrect boolean expressions,normal
make cwd detection working,major
core dump custom plugin wizard,major
implementation add logging jme back accessing javadoc attached javadoc,trivial
mbs binary parsers tab hidden error parsers page,normal
cvs doc trivial typo taskstaskshtm,trivial
missing description preference pages,trivial
nomove tag work partdescriptors,normal
compiler wrong initialization state conditional expression,critical
contributions contributed action delegate instantiated early,major
browserchrome tests leak,major
misc marker position selection synchronised,minor
dom ast recordcomponentbinding node changes,normal
buildaction compute build order correctly,major
findreplacetyping editor broken state findreplace,major
junit new test case wizard,trivial
allow reordering precedence installed language packs,normal
workbench information icon white background dialog grey background,trivial
program vm arguments useable,minor
serialuid,major
importexport import project fails vss configured,trivial
viewers javadoc table treeviewersetcontentprovider declare allowed types,trivial
compiler warnfail misuse array subtyping,major
core starts ui,normal
celleditors editor positioned wrong doesnt hide label fully,normal
file still marked changed end undo sequence,minor
sysout snippet working lambda function,trivial
images display one profile another,major
thunderbird bit fedora startwithlastprofile profilesini causing immediate startup crash,critical
es red pulsing camera icon subframe remains address bar main page refresh nightly,normal
using font profont makes fi display correctly,normal
cvs ui user prompted refresh cases,normal
problems relative paths containing colon windows,normal
team ui require navigatorresources,blocker
processlist displays processes associated controlling terminal,normal
cant add directory classes class path,critical
misc status line show problem message,normal
detail formatter broken arrays,major
misc find dialog distorts locking workstation,minor
package explorer move package presentation view menu top level elements,trivial
